,imdb_title_id,title,year,release_month,release_weekday,duration,country1,language,production_company,IMDb rating,votes,director,f-dir,movie_count,writer,f-wr,Genre1,Genre2,Main Actor1,Main Actor2,Main Actor3,f-ac,usa_gross_income,worlwide_gross_income,budget,f-rated,YearGp
70,tt0105267,Roadside Prophets,1992,10,Thursday,96,USA,English,New Line Cinema,6.5,1187,Abbe Wool,1.0,1,Abbe Wool,1.0,Adventure,Comedy,John Doe,David Anthony Marshall,Judyth Thurman,0.33,272506.0311047755,272506.0311047755,,2.33,90s
71,tt0107756,Orlando,1992,12,Friday,94,UK,English,Adventure Pictures,7.2,13937,Sally Potter,1.0,5,Sally Potter,1.0,Biography,Drama,Tilda Swinton,Quentin Crisp,Jimmy Somerville,0.33,9920122.326963648,9920122.326963648,$ 4000000,2.33,90s
72,tt0105793,Wayne's World,1992,2,Friday,94,USA,English,Paramount Pictures,7.0,141353,Penelope Spheeris,1.0,6,Penelope Spheeris,1.0,Comedy,Music,Mike Myers,Dana Carvey,Rob Lowe,0.0,224494696.10087663,337759096.67108333,$ 20000000,2.0,90s
73,tt0105577,This Is My Life,1992,2,Friday,105,USA,English,Twentieth Century Fox,6.1,1099,Nora Ephron,1.0,8,Nora Ephron,1.0,Drama,,Julie Kavner,Samantha Mathis,Gaby Hoffmann,1.0,5390378.262537419,5390378.262537419,,3.0,90s
74,tt0103893,Buffy the Vampire Slayer,1992,2,Friday,86,USA,English,Twentieth Century Fox,5.7,38966,Fran Rubel Kuzui,1.0,1,Fran Rubel Kuzui,1.0,Action,Comedy,Kristy Swanson,Donald Sutherland,Paul Reubens,0.33,30667085.401396997,30667085.401396997,$ 7000000,2.33,90s
75,tt0104033,Crush,1992,1,Wednesday,97,New Zealand,English,Hibiscus Films,6.1,461,Alison Maclean,1.0,2,Anne Kennedy,1.0,Drama,,Marcia Gay Harden,Donogh Rees,Caitlin Bossley,1.0,198843.5873984319,198843.5873984319,,3.0,90s
76,tt0102340,Love Crimes,1992,5,Thursday,90,UK,English,Sovereign Pictures,4.2,845,Lizzie Borden,1.0,1,Lizzie Borden,1.0,Romance,Thriller,Sean Young,Patrick Bergin,Arnetia Walker,0.67,4220534.0955666425,4220534.0955666425,,2.67,90s
77,tt0104575,Just Another Girl on the I.R.T.,1992,3,Friday,92,USA,English,Miramax,6.4,885,Leslie Harris,1.0,1,Leslie Harris,1.0,Drama,,Ariyan A. Johnson,Kevin Thigpen,Ebony Jerido,0.67,883921.6540199571,883921.6540199571,$ 100000,2.67,90s
78,tt0104694,A League of Their Own,1992,7,Wednesday,128,USA,English,Columbia Pictures,7.3,91488,Penny Marshall,1.0,7,Penny Marshall,1.0,Comedy,Drama,Tom Hanks,Geena Davis,Lori Petty,0.67,198367522.7341981,244311808.2534497,$ 40000000,2.67,90s
79,tt0104685,The Last Days of Chez Nous,1992,10,Thursday,93,Australia,English,Jan Chapman Productions,6.5,826,Gillian Armstrong,1.0,5,Gillian Armstrong,1.0,Comedy,Drama,Lisa Harrow,Bruno Ganz,Kerry Fox,0.67,1534009.506471846,1534009.506471846,,2.67,90s
80,tt0104139,Dr. Giggles,1992,10,Friday,95,USA,English,Dark Horse Entertainment,5.2,5675,Manny Coto,1.0,2,Manny Coto,1.0,Comedy,Drama,Larry Drake,Holly Marie Combs,Cliff De Young,0.33,15501788.297669277,15501788.297669277,,2.33,90s
81,tt0104321,Gas Food Lodging,1992,7,Friday,101,USA,English,Cineville,6.7,3407,Allison Anders,1.0,4,Allison Anders,1.0,Drama,Romance,Brooke Adams,Ione Skye,Fairuza Balk,1.0,2476714.2775694937,2476714.2775694937,,3.0,90s
